"","Katlengo_Contigs","Sample_1","Sample_2","Sample_3","Sample_4","Sample_5","Sample_6","Sample_7"
"1","1B45_contig_1",0.00138209172436541,0.000938342052628694,0.00142409739020551,0.00149547676063008,0.00341475204609813,0.000788048857955831,0.000612166746059403
"2","1B45_contig_10",0.00167908745534018,0.00212311916248352,0.00225659550394785,0.00273564366868294,0.00433307662464577,0.00243053964678306,0.00196190579941844
"3","1B45_contig_100",0.000124245432252577,1.62871082760443e-05,4.04099222927297e-06,0,1.75058856975951e-06,3.59497120329204e-06,7.55761414888152e-06
"4","1B45_contig_101",2.58844650526201e-06,2.71451804600739e-06,0,5.82950368946374e-06,1.40047085580761e-05,5.39245680493807e-06,0
"5","1B45_contig_102",7.76533951578604e-06,0,0,1.94316789648791e-06,1.75058856975951e-06,0,0
"6","1B45_contig_103",5.17689301052403e-06,0,0,1.94316789648791e-06,0,0,0
"7","1B45_contig_104",7.76533951578604e-06,2.71451804600739e-06,6.06148834390945e-06,3.88633579297582e-06,2.80094171161522e-05,7.18994240658409e-06,7.55761414888152e-06
"8","1B45_contig_105",0,5.42903609201478e-06,0,0,7.00235427903804e-06,0,0
"9","1B45_contig_106",2.58844650526201e-06,2.71451804600739e-06,6.06148834390945e-06,1.94316789648791e-06,2.45082399766331e-05,1.79748560164602e-06,0
"10","1B45_contig_107",7.76533951578604e-06,0,0,0,0,0,0
"11","1B45_contig_108",2.07075720420961e-05,0,0,0,3.50117713951902e-06,0,0
"12","1B45_contig_109",3.21961899703261e-06,5.42903609201478e-06,6.06148834390945e-06,1.94316789648791e-06,5.25176570927853e-06,1.79748560164602e-06,0
"13","1B45_contig_11",0.00139545647346273,0.00163978892676522,0.00171042273556707,0.00166998631231357,0.00246003656037808,0.0016780029661999,0.00123721555106973
"14","1B45_contig_110",7.76533951578604e-06,0,0,1.94316789648791e-05,3.50117713951902e-06,0,0
"15","1B45_contig_111",2.32960185473581e-05,0,0,0,0,0,0
"16","1B45_contig_112",7.76533951578604e-06,2.71451804600739e-06,0,1.94316789648791e-06,5.25176570927853e-06,0,0
"17","1B45_contig_113",0,0,4.04099222927297e-06,0,3.50117713951902e-06,0,2.51920471629384e-06
"18","1B45_contig_114",0,0,0,1.94316789648791e-06,7.00235427903804e-06,0,0
"19","1B45_contig_115",3.36498045684062e-05,2.71451804600739e-06,0,0,0,0,0
"20","1B45_contig_116",1.55306790315721e-05,0,0,0,0,0,0
"21","1B45_contig_117",7.76533951578604e-06,0,0,0,3.50117713951902e-06,0,0
"22","1B45_contig_118",0,5.42903609201478e-06,2.22254572610013e-05,5.82950368946374e-06,8.75294284879755e-06,0,0
"23","1B45_contig_119",5.17689301052403e-06,0,0,0,3.50117713951902e-06,1.79748560164602e-06,0
"24","1B45_contig_12",0.000452978138420852,0.000350172827934953,0.000838313457835098,0.000707835104173676,0.00141755835792444,0.000290037076255049,0.000418433141683821
"25","1B45_contig_120",1.29422325263101e-05,0,0,0,3.50117713951902e-06,0,0
"26","1B45_contig_121",5.17689301052403e-06,0,0,1.94316789648791e-06,0,0,0
"27","1B45_contig_122",0,5.42903609201478e-06,0,0,5.25176570927853e-06,0,0
"28","1B45_contig_123",5.17689301052403e-06,0,0,0,3.50117713951902e-06,0,0
"29","1B45_contig_124",0.0125359743576764,0.00751485852585089,0.00833466777654097,0.00910084840468552,0.010211165758214,0.00616446312840442,0.00621950557235919
"30","1B45_contig_125",0,0,0,0,1.75058856975951e-06,0,0
"31","1B45_contig_126",0.00380256929195617,0.0018046591139883,0.00198438407835414,0.00176509152195713,0.00209154611540501,0.00147292729906942,0.00143186487112036
"32","1B45_contig_127",0,0,0,0,5.25176570927853e-06,0,0
"33","1B45_contig_128",5.17689301052403e-06,0,0,0,1.57552971278356e-05,0,0
"34","1B45_contig_129",1.03537860210481e-05,0,0,0,0,0,0
"35","1B45_contig_13",0.00101208258355745,0.00115909920564516,0.00140742985414302,0.00126860963794184,0.00195076476082747,0.00124554163118577,0.000866606422405081
"36","1B45_contig_130",2.32960185473581e-05,0,0,1.94316789648791e-06,5.25176570927853e-06,0,0
