"","V1.x","V2.x","Bin","bin","Database","Number","V1.y","V2.y","V3","V4","V5","V6"
"1","OKOFEPGN_00176","2807_tniA_FN806773.1_1","1final_SemiBin_14.fa_PROKKA_07062024.faaMGE.txt","1final_SemiBin_14.fa","MGEs","2807_tniA_FN806773.1","2807_tniA_FN806773.1","tniA","tniA",NA,NA,NA
"2","JEFJIDJD_04590","2252_tnpA_LK021128.1_1","1final_SemiBin_26.fa_PROKKA_07062024.faaMGE.txt","1final_SemiBin_26.fa","MGEs","2252_tnpA_LK021128.1","2252_tnpA_LK021128.1","transposase","tnpA",NA,NA,NA
"3","ENBEGLFH_00418","945_tnpA_AB032203.1_1","2final_SemiBin_19.fa_PROKKA_07062024.faaMGE.txt","2final_SemiBin_19.fa","MGEs","945_tnpA_AB032203.1","945_tnpA_AB032203.1","transposase","tnpA",NA,NA,NA
"4","DHFIJHLB_00344","1523_tnpA1_JFHO01000231.1_1","2final_SemiBin_24.fa_PROKKA_07062024.faaMGE.txt","2final_SemiBin_24.fa","MGEs","1523_tnpA1_JFHO01000231.1","1523_tnpA1_JFHO01000231.1","transposase","tnpA1",NA,NA,NA
"5","FEBCAICG_02554","2082_tnpA_CU459003.1_1","2final_SemiBin_9.fa_PROKKA_07062024.faaMGE.txt","2final_SemiBin_9.fa","MGEs","2082_tnpA_CU459003.1","2082_tnpA_CU459003.1","transposase","tnpA",NA,NA,NA
"6","ENJLLFOI_03544","499_intI1_JX486125.1_1","3final_SemiBin_1.fa_PROKKA_07062024.faaMGE.txt","3final_SemiBin_1.fa","MGEs","499_intI1_JX486125.1","499_intI1_JX486125.1","integrase","intI1",NA,NA,NA
"7","PDCKCNLI_02984","1347_tnpA_FLQY01000035.1_1","3final_SemiBin_12.fa_PROKKA_07062024.faaMGE.txt","3final_SemiBin_12.fa","MGEs","1347_tnpA_FLQY01000035.1","1347_tnpA_FLQY01000035.1","transposase","tnpA",NA,NA,NA
"8","PDCKCNLI_03403","1728_istB3_LK391695.1_1","3final_SemiBin_12.fa_PROKKA_07062024.faaMGE.txt","3final_SemiBin_12.fa","MGEs","1728_istB3_LK391695.1","1728_istB3_LK391695.1","istB3","istB3",NA,NA,NA
"9","IHCCBFCG_03109","746_tnpA_AJ863570.1_1","3final_SemiBin_3.fa_PROKKA_07062024.faaMGE.txt","3final_SemiBin_3.fa","MGEs","746_tnpA_AJ863570.1","746_tnpA_AJ863570.1","transposase","tnpA",NA,NA,NA
"10","IHCCBFCG_03110","746_tnpA_AJ863570.1_1","3final_SemiBin_3.fa_PROKKA_07062024.faaMGE.txt","3final_SemiBin_3.fa","MGEs","746_tnpA_AJ863570.1","746_tnpA_AJ863570.1","transposase","tnpA",NA,NA,NA
