"","V1","V2","Bin","bin","Database","GI_number","GenBank_ID","Gene_name","Organism","Compound","NCBI_annotation"
"1","JPDOOLJA_00202","gi|503124907|ref|WP_013359568.1|","1final_SemiBin_10.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_10.fa","MRG",503124907,"WP_013359568.1","pstB","Pantoea","Arsenic (As)"," MULTISPECIES: phosphate ABC transporter ATP-binding protein PstB "
"2","JPDOOLJA_00203","gi|669223492|emb|CDW55166.1|","1final_SemiBin_10.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_10.fa","MRG",669223492,"CDW55166.1","pstA","Trichuris trichiura","Arsenic (As)"," PhoU and BPD transp 1 and ABC tran domain contain ing protein "
"3","JPDOOLJA_00310","gi|503125137|ref|WP_013359798.1|","1final_SemiBin_10.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_10.fa","MRG",503125137,"WP_013359798.1","soxR","Pantoea","Methyl Viologen [class: Paraquat]"," MULTISPECIES: redox-sensitive transcriptional activator SoxR "
"4","JPDOOLJA_00333","gi|497940194|ref|WP_010254350.1|","1final_SemiBin_10.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_10.fa","MRG",497940194,"WP_010254350.1","mntR","Pantoea","Manganese (Mn), Magnesium (Mg)"," MULTISPECIES: transcriptional regulator MntR "
"5","JPDOOLJA_00402","gi|701777331|gb|KGQ11059.1|","1final_SemiBin_10.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_10.fa","MRG",701777331,"KGQ11059.1","glpF","Beauveria bassiana D1-5","Antimony (Sb), Arsenic (As), Glycerol [class: Alcohol]"," Glycerol kinase "
"6","JPDOOLJA_00404","gi|693210489|ref|WP_032329453.1|","1final_SemiBin_10.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_10.fa","MRG",693210489,"WP_032329453.1","emrD","Shigella flexneri","Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]"," MFS transporter, partial "
"7","JPDOOLJA_00475","gi|1181678492|gb|ORM87132.1|","1final_SemiBin_10.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_10.fa","MRG",1181678492,"ORM87132.1","dsbA","Pantoea gaviniae","Cadmium (Cd), Zinc (Zn), Mercury (Hg)"," protein disulfide oxidoreductase DsbA "
"8","JPDOOLJA_00477","gi|669219975|emb|CDW58739.1|","1final_SemiBin_10.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_10.fa","MRG",669219975,"CDW58739.1","dsbA","Trichuris trichiura","Cadmium (Cd), Zinc (Zn), Mercury (Hg)"," APH and DSBA and DUF1040 domain containing protei n "
"9","JPDOOLJA_00535","gi|503124790|ref|WP_013359451.1|","1final_SemiBin_10.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_10.fa","MRG",503124790,"WP_013359451.1","oxyRkp","Pantoea","Hydrogen Peroxide (H2O2) [class: Peroxides], Sodium Deoxycholate (SDC) [class: Acid], Acriflavine [class: Acridine], Rhodamine 6G [class: Xanthene], Ethidium Bromide [class: Phenanthridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]"," MULTISPECIES: DNA-binding transcriptional regulator OxyR "
"10","JPDOOLJA_00543","gi|835714278|ref|WP_047627715.1|","1final_SemiBin_10.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_10.fa","MRG",835714278,"WP_047627715.1","mntH/yfeP","Escherichia coli","Manganese (Mn), Iron (Fe), Cadmium (Cd), Cobalt (Co), Zinc (Zn)"," divalent metal cation transporter "
"11","JPDOOLJA_00718","gi|930179207|ref|WP_054179955.1|","1final_SemiBin_10.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_10.fa","MRG",930179207,"WP_054179955.1","modA","Trabulsiella odontotermitis","Tungsten (W), Molybdenum (Mo)"," molybdate ABC transporter substrate-binding protein "
"12","JPDOOLJA_00719","gi|496382362|ref|WP_009091352.1|","1final_SemiBin_10.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_10.fa","MRG",496382362,"WP_009091352.1","modB","Pantoea sp. Sc1","Tungsten (W), Molybdenum (Mo)"," molybdate ABC transporter permease subunit "
"13","JPDOOLJA_00789","gi|1173852211|ref|WP_081396205.1|","1final_SemiBin_10.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_10.fa","MRG",1173852211,"WP_081396205.1","emmdR","Cronobacter sakazakii","Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Rhodamine 6G [class: Xanthene]"," FMN/FAD transporter, partial "
"14","OKOFEPGN_00030","gi|1252865378|ref|WP_096822076.1|","1final_SemiBin_14.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_14.fa","MRG",1252865378,"WP_096822076.1","copR","Pseudomonas fluorescens","Copper (Cu)"," DNA-binding response regulator "
"15","KCENFCOK_00560","gi|1184529358|ref|WP_085099367.1|","1final_SemiBin_2.fa_PROKKA_07062024.faaBacMetPD.txt","1final_SemiBin_2.fa","MRG",1184529358,"WP_085099367.1","ctpV","Mycobacterium paraense","Copper (Cu)"," copper-translocating P-type ATPase "
