"","V1","V2","Bin","bin","Database","ARO.Accession","CVTERM.ID","Model.Sequence.ID","Model.ID","Model.Name","ARO.Name","Protein.Accession","DNA.Accession","AMR.Gene.Family","Drug.Class","Resistance.Mechanism","CARD.Short.Name"
"1","EBBCJGAE_04010","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","1final_SemiBin_0.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_0.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"2","HGFCEMMJ_00071","gb|YP_177995.1|ARO:3004957|Mtub_clpC1_PZA","1final_SemiBin_1.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_1.fa","CARD-ARGs","ARO:3004957",43143,8823,3705,"Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","Mycobacterium tuberculosis clpC1 with mutation conferring resistance to pyrazinamide","YP_177995.1","NC_000962.3","pyrazinamide resistant clpC1","pyrazine antibiotic","antibiotic target alteration","Mtub_clpC1_PZA"
"3","JPDOOLJA_00031","gb|BAB38333.1|ARO:3003288|Ecol_rpoB_RIF","1final_SemiBin_10.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_10.fa","CARD-ARGs","ARO:3003288",39872,5493,627,"Escherichia coli rpoB mutants conferring resistance to rifampicin","Escherichia coli rpoB mutants conferring resistance to rifampicin","BAB38333.1","BA000007.3","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","peptide antibiotic;rifamycin antibiotic","antibiotic target alteration;antibiotic target replacement","Ecol_rpoB_RIF"
"4","JPDOOLJA_00039","gb|CDO13836.1|ARO:3005044|OmpA","1final_SemiBin_10.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_10.fa","CARD-ARGs","ARO:3005044",43242,6080,3787,"OmpA","OmpA","CDO13836.1","FO834906.1","General Bacterial Porin with reduced permeability to peptide antibiotics","peptide antibiotic","reduced permeability to antibiotic","OmpA"
"5","JPDOOLJA_00079","gb|VWQ04090.1|ARO:3005042|mlaD","1final_SemiBin_10.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_10.fa","CARD-ARGs","ARO:3005042",43240,6078,3785,"mlaD","mlaD","VWQ04090.1","LR730402.1","ATP-binding cassette (ABC) antibiotic efflux pump","glycopeptide antibiotic;oxazolidinone antibiotic","antibiotic efflux","mlaD"
"6","JPDOOLJA_00096","gb|BAE77933.1|ARO:3000518|CRP","1final_SemiBin_10.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_10.fa","CARD-ARGs","ARO:3000518",36657,4752,869,"CRP","CRP","BAE77933.1","AP009048.1","resistance-nodulation-cell division (RND) antibiotic efflux pump","fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam","antibiotic efflux","CRP"
"7","JPDOOLJA_00348","gb|AAC76093.1|ARO:3002986|bacA","1final_SemiBin_10.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_10.fa","CARD-ARGs","ARO:3002986",39420,4677,1820,"bacA","bacA","AAC76093.1","U00096.3","undecaprenyl pyrophosphate related proteins","peptide antibiotic","antibiotic target alteration","bacA"
"8","JPDOOLJA_00413","gb|CDJ72593.1|ARO:3003889|Ecol_GlpT_FOF","1final_SemiBin_10.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_10.fa","CARD-ARGs","ARO:3003889",40588,4617,2372,"Escherichia coli GlpT with mutation conferring resistance to fosfomycin","Escherichia coli GlpT with mutation conferring resistance to fosfomycin","CDJ72593.1","HG738867.1","antibiotic-resistant GlpT","phosphonic acid antibiotic","antibiotic target alteration","Ecol_GlpT_FOF"
"9","JPDOOLJA_00441","gb|AAA50993.1|ARO:3003368|Ecol_EFTu_KIR","1final_SemiBin_10.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_10.fa","CARD-ARGs","ARO:3003368",39952,3531,2137,"Escherichia coli EF-Tu mutants conferring resistance to kirromycin","Escherichia coli EF-Tu mutants conferring resistance to kirromycin","AAA50993.1","AH002539.2","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration","Ecol_EFTu_KIR"
"10","JPDOOLJA_00645","gb|AAC16242.1|ARO:3005069|rsmA","1final_SemiBin_10.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_10.fa","CARD-ARGs","ARO:3005069",43273,6102,3807,"rsmA","rsmA","AAC16242.1","AF061757.1","resistance-nodulation-cell division (RND) antibiotic efflux pump","diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic","antibiotic efflux","rsmA"
"11","JPDOOLJA_00675","gb|AAC76209.2|ARO:3003386|Ecol_folP_SLF","1final_SemiBin_10.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_10.fa","CARD-ARGs","ARO:3003386",39970,5412,29,"Escherichia coli folP with mutation conferring resistance to sulfonamides","Escherichia coli folP with mutation conferring resistance to sulfonamides","AAC76209.2","U00096.3","sulfonamide resistant dihydropteroate synthase folP","sulfonamide antibiotic;sulfone antibiotic","antibiotic target alteration","Ecol_folP_SLF"
"12","JPDOOLJA_00789","gb|AML99881.1|ARO:3001327|MdtK","1final_SemiBin_10.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_10.fa","CARD-ARGs","ARO:3001327",37726,4682,1752,"MdtK","MdtK","AML99881.1","CP014358.1","multidrug and toxic compound extrusion (MATE) transporter","fluoroquinolone antibiotic","antibiotic efflux","MdtK"
"13","GAHBCCHA_01142","gb|NP_215196.1|ARO:3003395|Mtub_rpsL_STR","1final_SemiBin_12.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_12.fa","CARD-ARGs","ARO:3003395",39979,8803,1197,"Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin","NP_215196.1","NC_000962.3","antibiotic-resistant rpsL","aminoglycoside antibiotic","antibiotic target alteration","Mtub_rpsL_STR"
"14","GAHBCCHA_01196","gb|NP_215182.1|ARO:3004994|Mtub_rpoC_RIF","1final_SemiBin_12.fa_PROKKA_07062024.faa.CARDbins.txt","1final_SemiBin_12.fa","CARD-ARGs","ARO:3004994",43181,8801,3746,"Mycobacterium tuberculosis rpoC mutations confer resistance to rifampicin","Mycobacterium tuberculosis rpoC mutations confer resistance to rifampicin","NP_215182.1","NC_000962.3","rifampicin resistant rpoC","rifamycin antibiotic","antibiotic target alteration","Mtub_rpoC_RIF"
